mot,date,X_t,N_t,f_t,p_t,surprise
nord,19660729,244,257988,94.58,6.862e-05,4.16
nord,19660806,239,243156,98.29,3.452e-05,4.46
nord,19680126,387,317565,121.86,1.906e-07,6.72
nord,19720513,395,357034,110.63,1.981e-06,5.70
nord,19760506,543,524735,103.48,7.237e-06,5.14
nord,20061013,548,427322,128.24,3.514e-08,7.45
vue,19450528,66,85243,77.43,1.395e-05,4.86
vue,19450605,73,103719,70.38,5.351e-05,4.27
vue,19451208,86,118136,72.80,2.005e-05,4.70
matin,19471122,130,129310,100.53,4.957e-05,4.30
matin,19471201,108,69475,155.45,4.707e-08,7.33
matin,19471209,80,68427,116.91,1.093e-05,4.96
mettre,20200501,244,547632,44.56,2.092e-05,4.68
aucun,19471209,41,68427,59.92,2.445e-05,4.61
aucun,19601104,120,250719,47.86,1.303e-05,4.88
sécurité,19450629,114,97013,117.51,4.767e-07,6.32
sécurité,19460322,120,120899,99.26,1.463e-05,4.83
sécurité,19500703,169,193256,87.45,9.191e-05,4.04
sécurité,19550719,185,212375,87.11,8.971e-05,4.05
sécurité,19580729,187,211836,88.28,7.001e-05,4.15
sécurité,19600806,160,179347,89.21,6.866e-05,4.16
sécurité,19600823,212,216194,98.06,7.848e-06,5.11
sécurité,20030214,499,541713,92.12,1.484e-05,4.83
sécurité,20030321,579,632832,91.49,1.599e-05,4.80
sécurité,20060811,266,288166,92.31,2.155e-05,4.67
sécurité,20151120,606,642428,94.33,8.117e-06,5.09
ville,19450407,119,74241,160.29,3.446e-09,8.46
ville,19450424,112,89029,125.80,1.723e-06,5.76
